timeframe,time,datetime,VN30,VN100,VNINDEX,USDVND
1D,1390788000,2014-01-27,624.70001221,559.89,556.52001953,21035.0
1D,1391652000,2014-02-06,626.30999756,561.68,554.67999268,21085.0
1D,1391738400,2014-02-07,622.82000732,558.81,549.76000977,21085.0
1D,1391997600,2014-02-10,631.41998291,566.94,555.90002441,21090.0
1D,1392084000,2014-02-11,627.40002441,563.81,553.90002441,21080.0
1D,1392170400,2014-02-12,637.78997803,572.95,564.25,21085.0
1D,1392256800,2014-02-13,641.72998047,576.53,570.17999268,21070.0
1D,1392343200,2014-02-14,641.40997314,576.72,572.2199707,21070.0
1D,1392602400,2014-02-17,638.79998779,575.1,570.20001221,21055.0
1D,1392688800,2014-02-18,645.59997559,581.24,574.55999756,21080.0
1D,1392775200,2014-02-19,650.42999268,586.22,578.11999512,21050.0
1D,1392861600,2014-02-20,638.70001221,575.63,571.03997803,21085.0
1D,1392948000,2014-02-21,639.36999512,576.11,570.57000732,21085.0
1D,1393207200,2014-02-24,648.48999023,584.02,576.58001709,21085.0
1D,1393293600,2014-02-25,661.5300293,593.78,586.20001221,21055.0
1D,1393380000,2014-02-26,667.90997314,598.59,589.80999756,21080.0
1D,1393466400,2014-02-27,662.73999023,593.28,584.78997803,21080.0
1D,1393552800,2014-02-28,663.80999756,594.39,586.47998047,21080.0
1D,1393812000,2014-03-03,643.95001221,578.02,573.38000488,21080.0
1D,1393898400,2014-03-04,638.78997803,574.14,569.9699707,21080.0
1D,1393984800,2014-03-05,645.76000977,580.43,574.94000244,21050.0
1D,1394071200,2014-03-06,648.61999512,583.43,578.55999756,21055.0
1D,1394157600,2014-03-07,651.46002197,585.97,579.75,21055.0
1D,1394416800,2014-03-10,655.79998779,589.16,583.69000244,21080.0
1D,1394503200,2014-03-11,661.60998535,593.38,588.5,21080.0
1D,1394589600,2014-03-12,663.84002686,595.21,590.02001953,21080.0
1D,1394676000,2014-03-13,669.21002197,600.64,595.2199707,21080.0
1D,1394762400,2014-03-14,668.39001465,601.79,596.83001709,21080.0
1D,1395021600,2014-03-17,672.15002441,605.5,600.35998535,21075.0
1D,1395108000,2014-03-18,673.67999268,606.79,599.84997559,21075.0
1D,1395194400,2014-03-19,681.94000244,613.92,605.59002686,21075.0
1D,1395280800,2014-03-20,676.08001709,608.77,600.26000977,21075.0
1D,1395367200,2014-03-21,679.97998047,611.84,601.75,21075.0
1D,1395626400,2014-03-24,689.32000732,619.86,607.54998779,21075.0
1D,1395712800,2014-03-25,682.75,613.8,601.84997559,21075.0
1D,1395799200,2014-03-26,664.86999512,599.04,588.05999756,21080.0
1D,1395885600,2014-03-27,669.89001465,602.89,590.14001465,21085.0
1D,1395972000,2014-03-28,676.30999756,607.53,594.28997803,21085.0
1D,1396231200,2014-03-31,670.42999268,602.93,591.57000732,21075.0
1D,1396317600,2014-04-01,660.13000488,593.13,583.84997559,21075.0
1D,1396404000,2014-04-02,658.01000977,590.78,581.66998291,21070.0
1D,1396490400,2014-04-03,664.88000488,598.08,589.44000244,21070.0
1D,1396576800,2014-04-04,667.33001709,600.21,593.03997803,21070.0
1D,1396836000,2014-04-07,672.9699707,605.31,600.57000732,21075.0
1D,1396922400,2014-04-08,672.05999756,604.88,603.25,21045.0
1D,1397095200,2014-04-10,670.05999756,603.14,601.33001709,21094.0
1D,1397181600,2014-04-11,665.84997559,599.28,600.57000732,21094.0
1D,1397440800,2014-04-14,661.11999512,594.91,596.10998535,21095.0
1D,1397527200,2014-04-15,647.73999023,583.02,586.09002686,21075.0
1D,1397613600,2014-04-16,634.76000977,572.46,574.28997803,21075.0
1D,1397700000,2014-04-17,642.47998047,578.78,580.30999756,21075.0
1D,1397786400,2014-04-18,621.13000488,560.35,565.33001709,21075.0
1D,1398045600,2014-04-21,613.66998291,552.82,558.14001465,21075.0
1D,1398132000,2014-04-22,630.88000488,567.25,569.86999512,21090.0
1D,1398218400,2014-04-23,629.7800293,565.63,569.35998535,21085.0
1D,1398304800,2014-04-24,629.15997314,565.38,570.46002197,21080.0
1D,1398391200,2014-04-25,636.34997559,571.41,578.91998291,21080.0
1D,1398650400,2014-04-28,628.90002441,565.0,573.09997559,21060.0
1D,1398736800,2014-04-29,632.09997559,567.71,578.0,21060.0
1D,1399255200,2014-05-05,614.35998535,552.68,564.84997559,21075.0
1D,1399341600,2014-05-06,605.20001221,543.7,555.10998535,21070.0
1D,1399428000,2014-05-07,609.51000977,547.16,559.9699707,21080.0
1D,1399514400,2014-05-08,575.30999756,516.87,527.09002686,21061.0
1D,1399600800,2014-05-09,587.90997314,527.15,542.46002197,21061.0
1D,1399860000,2014-05-12,563.29998779,504.63,517.04998779,21075.0
1D,1399946400,2014-05-13,560.10998535,500.23,513.90997314,21085.0
1D,1400032800,2014-05-14,581.83001709,518.62,529.5300293,21100.0
1D,1400119200,2014-05-15,575.5300293,512.86,524.04998779,21140.0
1D,1400205600,2014-05-16,581.92999268,519.31,529.48999023,21140.0
1D,1400464800,2014-05-19,589.30999756,526.44,533.03997803,21130.0
1D,1400551200,2014-05-20,590.27001953,528.24,537.52001953,21130.0
1D,1400637600,2014-05-21,596.82000732,535.09,543.88000488,21110.0
1D,1400724000,2014-05-22,592.75,531.85,541.72998047,21125.0
1D,1400810400,2014-05-23,594.34997559,532.5,541.48999023,21125.0
1D,1401069600,2014-05-26,596.23999023,534.5,544.05999756,21120.0
1D,1401156000,2014-05-27,605.86999512,542.78,552.75,21140.0
1D,1401242400,2014-05-28,614.88000488,549.69,557.34002686,21140.0
1D,1401328800,2014-05-29,615.01000977,549.13,558.45001221,21135.0
1D,1401415200,2014-05-30,618.0,551.53,562.02001953,21135.0
1D,1401674400,2014-06-02,610.98999023,545.32,556.79998779,21190.0
1D,1401760800,2014-06-03,612.48999023,546.47,558.76000977,21190.0
1D,1401847200,2014-06-04,603.83001709,538.64,553.46002197,21180.0
1D,1401933600,2014-06-05,601.59997559,537.92,551.09997559,21160.0
1D,1402020000,2014-06-06,608.47998047,543.87,559.03997803,21160.0
1D,1402279200,2014-06-09,610.91998291,546.94,565.60998535,21120.0
1D,1402365600,2014-06-10,608.59002686,544.15,566.89001465,21195.0
1D,1402452000,2014-06-11,615.52001953,549.84,570.35998535,21195.0
1D,1402538400,2014-06-12,616.10998535,550.97,573.77001953,21200.0
1D,1402624800,2014-06-13,617.72998047,552.3,574.47998047,21200.0
1D,1402884000,2014-06-16,618.61999512,552.62,572.36999512,21200.0
1D,1402970400,2014-06-17,620.60998535,555.06,572.25,21185.0
1D,1403056800,2014-06-18,618.60998535,553.64,570.0300293,21295.0
1D,1403143200,2014-06-19,613.82000732,549.29,567.34997559,21280.0
1D,1403229600,2014-06-20,607.22998047,544.34,560.7800293,21280.0
1D,1403488800,2014-06-23,609.98999023,546.17,565.91998291,21280.0
1D,1403575200,2014-06-24,612.53997803,548.47,569.73999023,21300.0
1D,1403661600,2014-06-25,618.09997559,553.58,572.27001953,21300.0
1D,1403748000,2014-06-26,619.90997314,555.36,576.40002441,21300.0
1D,1403834400,2014-06-27,616.84997559,552.79,578.82000732,21300.0
1D,1404093600,2014-06-30,615.05999756,551.77,578.13000488,21300.0
1D,1404180000,2014-07-01,617.96002197,553.48,578.07000732,21290.0
