"timeframe","s","worst_case_abs_error"
"1D",5,0.0167759780665785
"1D",6,0.0182093596211361
"1D",7,0.018560648477445
"1D",8,0.018688901223877
"1D",9,0.0199906594923184
"1D",11,0.0205936025272802
"1D",12,0.0240533349142741
"1D",14,0.02160007575189
"1D",16,0.0237582350894937
"1D",18,0.0246564566718111
"1D",20,0.0283974623090559
"1D",23,0.0282219963391932
"1D",26,0.0355106504468635
"1D",30,0.0327730200655261
"1D",34,0.0359033961377516
"1D",39,0.0453272210595165
"1D",44,0.0388177485124655
"1D",50,0.0423552507197541
"1D",57,0.0516120118052196
"1D",65,0.0486192264295188
"1D",74,0.0551267745107806
"1D",84,0.0565102261421591
"1D",95,0.0598246150595222
"1D",108,0.0643263979716327
"1D",123,0.069707466633981
"1D",140,0.0735039412008286
"1D",159,0.0781409355458549
"1D",181,0.0795416393633603
"1D",205,0.0830296495425112
"1D",234,0.0930853710781971
"1D",265,0.0939616399463828
"1D",302,0.106431718660491
"1D",343,0.112316299487755
"1D",390,0.121445834123001
"1D",443,0.129581068872095
"1D",504,0.141049868225696
"1D",573,0.148235000854577
"1D",651,0.153950621347145
"1D",740,0.185619754752057
