"timeframe","s","worst_case_abs_error"
"H1",5,0.00870592578827865
"H1",6,0.00870551357178769
"H1",7,0.00973342526644022
"H1",8,0.00883859229271628
"H1",10,0.00977281875396392
"H1",12,0.0119952430533977
"H1",14,0.0121098534845651
"H1",16,0.0125676469300761
"H1",19,0.0132364879463893
"H1",22,0.0138822218041788
"H1",27,0.0152155002870397
"H1",31,0.0167411755062347
"H1",37,0.0186205830383563
"H1",44,0.0181010652587578
"H1",52,0.0201472847150551
"H1",61,0.0225131586413417
"H1",72,0.0243790621408368
"H1",86,0.024806258677142
"H1",101,0.0299766003269508
"H1",120,0.0295304693664936
"H1",141,0.0342130331735648
"H1",167,0.039417147344036
"H1",197,0.0382013485612696
"H1",233,0.0458660590334873
"H1",276,0.0540165621350003
"H1",326,0.0483954421765358
"H1",385,0.0565179000522746
"H1",455,0.0553885222674921
"H1",538,0.0661796764597504
"H1",636,0.0667597439415974
"H1",751,0.0828860848632607
"H1",888,0.0834021389102536
"H1",1049,0.0961491479739149
"H1",1240,0.100818027954972
"H1",1466,0.101937649054353
"H1",1732,0.115015796743132
"H1",2048,0.12207768087999
"H1",2420,0.134714937414455
"H1",2860,0.142421385941717
"H1",3380,0.163394306915263
