"timeframe","s","worst_case_abs_error"
"M30",5,0.00662908741911358
"M30",6,0.00708345370919406
"M30",7,0.00632199891261153
"M30",9,0.0081691742095066
"M30",10,0.00730095909002326
"M30",12,0.00762559126335757
"M30",15,0.00839737938375336
"M30",18,0.010081531744669
"M30",21,0.0101073952917701
"M30",25,0.0105368136061218
"M30",30,0.0120741089066225
"M30",36,0.0139155707796823
"M30",43,0.014917210553139
"M30",52,0.0168678528872772
"M30",62,0.0189540831840793
"M30",74,0.0183915711644324
"M30",88,0.021139507328575
"M30",106,0.0262678701026862
"M30",127,0.0238129235611383
"M30",151,0.0274531074565235
"M30",181,0.0287643425912617
"M30",217,0.0348222884873665
"M30",259,0.032542783373092
"M30",310,0.0377651230754818
"M30",371,0.0423586485335991
"M30",444,0.0452711161362276
"M30",532,0.0516319849889225
"M30",636,0.0571681152277373
"M30",762,0.0633539749804857
"M30",911,0.07262244084501
"M30",1090,0.0750068242669145
"M30",1305,0.0795280028737429
"M30",1561,0.102869964501454
"M30",1868,0.0947059916604991
"M30",2236,0.10769136277821
"M30",2675,0.111751984076397
"M30",3201,0.130403651826502
"M30",3831,0.135171864297074
"M30",4584,0.148494503478157
"M30",5485,0.168510434994193
