"timeframe","pair","q","lambda_xy","h_x","h_y"
"1D","VN30-VNINDEX",-5,0.867587375035546,0.727467296422987,0.70862106490181
"1D","VN30-VNINDEX",-4,0.824834600825912,0.69895799719365,0.68911212077123
"1D","VN30-VNINDEX",-3,0.762437845119287,0.667380662363288,0.667355503160047
"1D","VN30-VNINDEX",-2,0.686596075340641,0.637126848281962,0.643958269963647
"1D","VN30-VNINDEX",-1,0.632828105282507,0.612159530521636,0.619466392381348
"1D","VN30-VNINDEX",1,0.567660549273051,0.565076709439564,0.564750598416592
"1D","VN30-VNINDEX",2,0.535900546578175,0.537178596713467,0.533230616566216
"1D","VN30-VNINDEX",3,0.504021112473691,0.50778148464874,0.500656016295907
"1D","VN30-VNINDEX",4,0.47412284043503,0.479599588603384,0.469604383111695
"1D","VN30-VNINDEX",5,0.447718739415561,0.454431942640479,0.442018160334962
"1D","VN30-VN100",-5,0.755747353748678,0.727467296422987,0.743055473529271
"1D","VN30-VN100",-4,0.722217012750909,0.69895799719365,0.713856210289896
"1D","VN30-VN100",-3,0.684248227239292,0.667380662363288,0.680482915169698
"1D","VN30-VN100",-2,0.64846557262347,0.637126848281962,0.648149957763883
"1D","VN30-VN100",-1,0.61942547108536,0.612159530521636,0.621109796155756
"1D","VN30-VN100",1,0.567480779099346,0.565076709439564,0.569055735814903
"1D","VN30-VN100",2,0.538301722444151,0.537178596713467,0.539469473189385
"1D","VN30-VN100",3,0.508187537122632,0.50778148464874,0.509212261609732
"1D","VN30-VN100",4,0.479633285033706,0.479599588603384,0.48063124110163
"1D","VN30-VN100",5,0.454218986603593,0.454431942640479,0.455127603549599
"1D","VN100-VNINDEX",-5,0.810406695832412,0.743055473529271,0.70862106490181
"1D","VN100-VNINDEX",-4,0.775067973020374,0.713856210289896,0.68911212077123
"1D","VN100-VNINDEX",-3,0.728770469936648,0.680482915169698,0.667355503160047
"1D","VN100-VNINDEX",-2,0.674969005457181,0.648149957763883,0.643958269963647
"1D","VN100-VNINDEX",-1,0.631718793368918,0.621109796155756,0.619466392381348
"1D","VN100-VNINDEX",1,0.568412280148356,0.569055735814903,0.564750598416592
"1D","VN100-VNINDEX",2,0.536528537062281,0.539469473189385,0.533230616566216
"1D","VN100-VNINDEX",3,0.504615333158904,0.509212261609732,0.500656016295907
"1D","VN100-VNINDEX",4,0.474671382478398,0.48063124110163,0.469604383111695
"1D","VN100-VNINDEX",5,0.448120023075272,0.455127603549599,0.442018160334962
"1D","Pcap-VN30",-5,1.11045831546332,0.730878819404256,0.727467296422987
"1D","Pcap-VN30",-4,1.05001470163183,0.707567188963894,0.69895799719365
