"pair","q","h","tau","alpha","f_alpha"
"Pcap-VN30",-5,1.11045831546332,-6.5522915773166,1.35223277078927,-0.208872276629763
"Pcap-VN30",-4,1.05001470163183,-5.20005880652733,1.3420561004041,-0.168165595089063
"Pcap-VN30",-3,0.956059792169468,-3.8681793765084,1.28609118801992,0.00990581244864819
"Pcap-VN30",-2,0.813938215243744,-2.62787643048749,1.09906111265695,0.429754205173579
"Pcap-VN30",-1,0.670057151194494,-1.67005715119449,0.84569993100494,0.824357220189554
"Pcap-VN30",1,0.572865317663169,-0.427134682336831,0.545347084280121,0.972481766616953
"Pcap-VN30",2,0.540077663434467,0.0801553268689348,0.477103169903083,0.874051012937231
"Pcap-VN30",3,0.509023885823111,0.527071657469334,0.420674902177542,0.734953049063291
"Pcap-VN30",4,0.480376282806005,0.921505131224018,0.373678960564154,0.573210711032599
"Pcap-VN30",5,0.454885915719529,1.27442957859764,0.352924447373624,0.490192658270479
"Pheur-VN30",-5,0.856075785328747,-5.28037892664373,1.0603057503731,-0.0211498252217526
"Pheur-VN30",-4,0.805018294067659,-4.22007317627064,1.04865977239944,0.0254340866728748
"Pheur-VN30",-3,0.727686460614951,-3.18305938184485,0.996556468610563,0.193389976013165
"Pheur-VN30",-2,0.613480119524756,-2.22696023904951,0.82734697133966,0.572266296370191
"Pheur-VN30",-1,0.528365439165533,-1.52836543916553,0.642295506461675,0.886069932703858
"Pheur-VN30",1,0.5310284000686,-0.4689715999314,0.523889233355114,0.992860833286515
"Pheur-VN30",2,0.526006895146369,0.052013790292738,0.505080608121336,0.958147425949934
"Pheur-VN30",3,0.513729872103757,0.541189616311272,0.470755750591237,0.871077635462438
"Pheur-VN30",4,0.498381322868803,0.993525291475211,0.436176547111932,0.751180896972517
"Pheur-VN30",5,0.482708542107027,1.41354271053514,0.420017419059925,0.686544384764488
"Pratio-VN30",-5,0.867604765715447,-5.33802382857724,1.06832697977092,-0.00361107027737528
"Pratio-VN30",-4,0.817424212201578,-4.26969684880631,1.05708245994799,0.041367009014345
"Pratio-VN30",-3,0.74128630289375,-3.22385890868125,1.00343895069539,0.213542056595094
"Pratio-VN30",-2,0.631409473707771,-2.26281894741554,0.835905737005445,0.591007473404653
"Pratio-VN30",-1,0.552047434670362,-1.55204743467036,0.656371085727593,0.895676348942769
"Pratio-VN30",1,0.543093028714476,-0.456906971285524,0.528693332601688,0.985600303887212
"Pratio-VN30",2,0.531173955885399,0.0623479117707988,0.502140376973046,0.941932842175294
"Pratio-VN30",3,0.515791260886856,0.547373782660569,0.467764188321911,0.855918782305164
"Pratio-VN30",4,0.499469072103655,0.997876288414621,0.435805288153697,0.745344864200169
"Pratio-VN30",5,0.483796871793593,1.41898435896796,0.421108070553343,0.686555993798751
"Pres-VN30",-5,0.896506231215178,-5.48253115607589,1.1023176777446,-0.0290572326471272
"Pres-VN30",-4,0.845053369582822,-4.38021347833129,1.09208462963524,0.0118749597903465
"Pres-VN30",-3,0.766120632268474,-3.29836189680542,1.03593729377975,0.190550015466181
"Pres-VN30",-2,0.654169445385897,-2.30833889077179,0.862474232933285,0.583390424905224
"Pres-VN30",-1,0.57341343093885,-1.57341343093885,0.676983615419397,0.896429815519454
"Pres-VN30",1,0.548786422245751,-0.451213577754249,0.533568992961553,0.984782570715802
"Pres-VN30",2,0.534294974195965,0.0685899483919297,0.498564791062412,0.928539633732894
"Pres-VN30",3,0.515305334790191,0.545916004370574,0.455148385021261,0.819529150693209
"Pres-VN30",4,0.494721679608613,0.978886718434452,0.413906482964957,0.676739213425378
"Pres-VN30",5,0.474745794060098,1.37372897030049,0.394842251866037,0.600482289029696
"VN100-VNINDEX",-5,0.810406695832412,-5.05203347916206,0.951761587080566,0.293225543759231
"VN100-VNINDEX",-4,0.775067973020374,-4.10027189208149,0.932861034676058,0.368827753377261
"VN100-VNINDEX",-3,0.728770469936648,-3.18631140980994,0.875166940583567,0.560810588059243
"VN100-VNINDEX",-2,0.674969005457181,-2.34993801091436,0.777296308220513,0.795345394473336
"VN100-VNINDEX",-1,0.631718793368918,-1.63171879336892,0.678834657283174,0.952884136085744
"VN100-VNINDEX",1,0.568412280148356,-0.431587719851644,0.536451708237017,0.968039428088661
"VN100-VNINDEX",2,0.536528537062281,0.073057074124562,0.472716859664179,0.872376645203796
"VN100-VNINDEX",3,0.504615333158904,0.513845999476713,0.412814227894515,0.724596684206833
"VN100-VNINDEX",4,0.474671382478398,0.898685529913593,0.363377057949823,0.5548227018857
"VN100-VNINDEX",5,0.448120023075272,1.24060011537636,0.341914585462767,0.468972811937474
"VN30-VN100",-5,0.755747353748678,-4.77873676874339,0.889868717739754,0.32939318004462
"VN30-VN100",-4,0.722217012750909,-3.88886805100363,0.862996043512756,0.436883876952611
"VN30-VN100",-3,0.684248227239292,-3.05274468171788,0.795968452878347,0.664839323082835
"VN30-VN100",-2,0.64846557262347,-2.29693114524694,0.716659605316258,0.863611934614424
"VN30-VN100",-1,0.61942547108536,-1.61942547108536,0.649488157805171,0.969937313280188
"VN30-VN100",1,0.567480779099346,-0.432519220900654,0.537232818890088,0.969752039790742
"VN30-VN100",2,0.538301722444151,0.0766034448883013,0.478540916134274,0.880478387380248
"VN30-VN100",3,0.508187537122632,0.524562611367895,0.420964847623262,0.73833193150189
"VN30-VN100",4,0.479633285033706,0.918533140134824,0.373266160825034,0.574531503165313
"VN30-VN100",5,0.454218986603593,1.27109493301796,0.352561792883139,0.491714031397732
"VN30-VNINDEX",-5,0.867587375035546,-5.33793687517773,1.03859847187409,0.144944515807307
"VN30-VNINDEX",-4,0.824834600825912,-4.29933840330365,1.02531166990994,0.198091723663904
"VN30-VNINDEX",-3,0.762437845119287,-3.28731353535786,0.963073126311183,0.398094156424312
"VN30-VNINDEX",-2,0.686596075340641,-2.37319215068128,0.827242715037677,0.718706720605928
"VN30-VNINDEX",-1,0.632828105282507,-1.63282810528251,0.693657472691776,0.939170632590731
"VN30-VNINDEX",1,0.567660549273051,-0.432339450726949,0.536175138348126,0.968514589075075
"VN30-VNINDEX",2,0.535900546578175,0.0718010931563502,0.472201394074011,0.872601694991672
"VN30-VNINDEX",3,0.504021112473691,0.512063337421073,0.412345134291884,0.72497206545458
"VN30-VNINDEX",4,0.47412284043503,0.896491361740118,0.363265179828366,0.556569357573345
"VN30-VNINDEX",5,0.447718739415561,1.2385936970778,0.342102335337686,0.471917979610626
