"panel","pair","rho_low","rho_high","s_used","n_low","n_high","delta","rho_star","se","t","p_one_sided"
"A","VN30-VNINDEX",0.955211106582716,0.979527732342939,20,1000,539,2.20895140703633,0.938424622830634,0.00583955447708403,-2.87461720204113,0.997977411974504
"A","VN30-VN100",0.983182222437946,0.991807846980524,20,1000,539,2.20895140703633,0.974402664953866,0.00241893477074157,-3.62951394567325,0.999858022304466
"A","VN100-VNINDEX",0.964083947167152,0.986247002373965,20,1000,539,2.20895140703633,0.95777345689737,0.00420188540798314,-1.5018235047041,0.933428651838819
"A","Pcap-VN30",0.843562080734901,0.923856741628564,20,1000,539,2.20895140703633,0.80302390415401,0.0178098283002438,-2.27616886010829,0.988582047534916
"A","Pheur-VN30",-0.136321276979746,0.0163764139677202,20,1000,539,2.20895140703633,0.00914276020791867,0.053086305016728,2.74014243677023,0.00307062817342829
"A","Pratio-VN30",-0.197978093944387,-0.0737520278971788,20,1000,539,2.20895140703633,-0.0412483885758566,0.0526509760625637,2.97676732872516,0.00145652496720527
"A","Pres-VN30",-0.037321575056112,0.155170948562685,20,1000,539,2.20895140703633,0.0873490409131244,0.0531441489226384,2.34589542774913,0.00949071607229002
"B","VN30-VNINDEX",0.923015238352698,0.981933754694873,18,739,739,7.06003206932475,0.87728896158186,0.0100730954824216,-4.5394463748144,0.999997179893903
"B","VN30-VN100",0.962490345921012,0.992339055950303,18,739,739,7.06003206932475,0.942838929303132,0.00490117960572262,-4.00952795015604,0.999969579874201
"B","VN100-VNINDEX",0.937801978746999,0.988663502028239,18,739,739,7.06003206932475,0.918281677461161,0.00727389673566194,-2.68360989923537,0.996358398327189
"B","Pcap-VN30",0.633281506627192,0.92908015772971,18,739,739,7.06003206932475,0.66263489974831,0.0301859854799873,0.972417916936292,0.165421341012207
"B","Pheur-VN30",-0.375071017251824,0.0382859089980467,18,739,739,7.06003206932475,0.013494275204936,0.0484966089986794,8.01221570908888,5.55111512312578e-16
"B","Pratio-VN30",-0.410884570953532,-0.0548032984786442,18,739,739,7.06003206932475,-0.0193290420680783,0.0478227291087818,8.18764500024218,1.11022302462516e-16
"B","Pres-VN30",-0.315809136822498,0.180463115334354,18,739,739,7.06003206932475,0.0644918093578765,0.0493828659115724,7.70107078964111,6.77236045021345e-15
