"timeframe","pair","range","intercept","slope","hac_se_intercept","hac_se_slope","t_slope","p_slope","p_intercept","r_squared","n"
"1D","VN30-VNINDEX","full",0.960753313738708,0.00197823840442907,0.00179677686871678,0.000520619816275748,3.79977546490718,0.000716922374819269,1.11384385013116e-57,0.466966048494793,30
"1D","VN30-VNINDEX","reliable",0.963737203676574,0.0010175222963058,0.00134138849014411,0.000510638914488428,1.99264542406679,0.0695461719105719,3.56036613075023e-29,0.114919722767775,14
"1D","VN30-VN100","full",0.987225981144238,5.16748579761735e-05,0.00117707858505915,0.000336832509037634,0.153414105199685,0.879172044269088,3.74413443708872e-63,0.00272825716178833,30
"1D","VN30-VN100","reliable",0.989751320021838,-0.000773741031330905,0.000473228364090932,0.000184892454677268,-4.18481669617875,0.00126561558157538,9.61455067695293e-35,0.383590116543803,14
"1D","VN100-VNINDEX","full",0.974099783657521,0.000492934458803909,0.00156507548064203,0.000498193670794388,0.989443438769319,0.330920076887804,1.58621994954139e-59,0.0868795985176875,30
"1D","VN100-VNINDEX","reliable",0.973721254690328,0.000803038502063616,0.000723308859606381,0.00029293612123518,2.74134339827251,0.0178867958583396,1.9013107061665e-32,0.171377570457631,14
"1D","Pcap-VN30","full",0.878706369084431,0.00140257530363464,0.00695362045693949,0.0019230632966647,0.729344325830158,0.471848558408819,3.79037093120969e-40,0.0468457470809619,30
"1D","Pcap-VN30","reliable",0.894561998308732,-0.00398646884347741,0.00461618346395532,0.00164370333580657,-2.42529704517588,0.0320063250052268,2.39716450393551e-22,0.184621176788294,14
"1D","Pheur-VN30","full",-0.0998645223501789,0.00914152875189527,0.0488724974067021,0.0145628816177846,0.627728013714769,0.535268555208447,0.0505285229385345,0.0345801735746326,30
"1D","Pheur-VN30","reliable",-0.180611627623983,0.032953116158145,0.0175564360652988,0.00611901572253637,5.38536223019961,0.000163923975786203,2.63436126483066e-07,0.67893510671824,14
"1D","Pratio-VN30","full",-0.171675634720149,0.00905429003512542,0.0513958496845541,0.0153151982719678,0.591196396830065,0.55913171852485,0.00238178844954833,0.0321306527996413,30
"1D","Pratio-VN30","reliable",-0.257993036342075,0.0346685746235238,0.0166515353729618,0.00591157844687981,5.86452077648098,7.66303677434062e-05,2.68225489107908e-09,0.716153456438878,14
"1D","Pres-VN30","full",0.0143599175217705,0.00912975255669361,0.0431434444595006,0.0128507929136409,0.710442742175273,0.483305511065068,0.74173344972664,0.040358570463431,30
"1D","Pres-VN30","reliable",-0.0542619191695553,0.0290731874971212,0.0186459980512814,0.00634701312565996,4.5806093230819,0.000631766232238858,0.0130783816808705,0.597939977541247,14
"M30","VN30-VNINDEX","full",0.962473866555494,0.00157661394589516,0.00209844087600182,0.000373170781356356,4.22491262623691,0.000229283548746677,8.1683173467015e-56,0.485556811395712,30
"M30","VN30-VNINDEX","reliable",0.960673482413465,0.00218095922512297,0.00236337734848638,0.000497710909845786,4.38197994453996,0.000406611759628966,2.42695728953776e-35,0.683500103784297,19
"M30","VN30-VN100","full",0.986454041431025,9.09761898194568e-05,0.000736295977676803,0.000190129217666058,0.478496629483044,0.636012034590346,7.54954881145429e-69,0.0203477262561844,30
"M30","VN30-VN100","reliable",0.987149549022817,-6.54775831597889e-05,0.000399483925006184,8.5350039020109e-05,-0.767165239893587,0.453506848221133,1.14846230731899e-48,0.0391085471539073,19
"M30","VN100-VNINDEX","full",0.977482217315558,0.000864222962305468,0.00230736753419403,0.000396506338431075,2.1795943180255,0.0378561996036253,7.55094500701097e-55,0.297845319317483,30
"M30","VN100-VNINDEX","reliable",0.973155943083622,0.00215761081702256,0.00198079039072097,0.000434567581713541,4.96496036016975,0.000117921345690598,9.68401595219335e-37,0.766350330867577,19
"M30","Pcap-VN30","full",0.873103975998862,0.00247634596464928,0.00417964641098986,0.000886577508069044,2.79315225359454,0.00930735265508459,2.97157512337981e-46,0.273905445984445,30
"M30","Pcap-VN30","reliable",0.876556749301068,0.0016715552864422,0.00465897240079291,0.000967175096869248,1.72828611060504,0.10205550143625,1.17798827883219e-29,0.212829553044512,19
"M30","Pheur-VN30","full",-0.0846250235767359,0.022232973924944,0.0447200005366664,0.0112442485045679,1.97727521905195,0.057931474444292,0.0688288065449038,0.293062943548537,30
"M30","Pheur-VN30","reliable",-0.114939214951359,0.0289265665605076,0.0238277677807775,0.00524108462796329,5.5191947113719,3.75430230041817e-05,0.000158698911650112,0.723816682505934,19
"M30","Pratio-VN30","full",-0.166934186557185,0.0221312331709251,0.04714903760014,0.0120195392392667,1.84127134413143,0.0762000658181787,0.00141840742478828,0.268264163515442,30
"M30","Pratio-VN30","reliable",-0.198889558331285,0.0290974045670519,0.0224395252062415,0.00499623053685995,5.82387148719104,2.03306937202105e-05,8.80128001317747e-08,0.735725353987325,19
"M30","Pres-VN30","full",-0.0116596170569951,0.0220175968082455,0.0419268317819495,0.0103907527896842,2.1189607003358,0.0430966462055607,0.782983188822212,0.316779342929079,30
"M30","Pres-VN30","reliable",-0.0398159822509651,0.0282958925791045,0.0246516109599392,0.0053749233653536,5.26442716588259,6.3256467056929e-05,0.124684482343936,0.711969770093583,19
"H1","VN30-VNINDEX","full",0.958616710867482,0.00153678235546803,0.00243453924649481,0.000478036094836388,3.2147830928834,0.00328000437833611,5.85120500861223e-54,0.390851586477471,30
"H1","VN30-VNINDEX","reliable",0.955740039492743,0.00242204189309744,0.00312195537693196,0.000723751204486955,3.34651172679478,0.00409731468758469,1.41543162226947e-31,0.625211998273042,18
"H1","VN30-VN100","full",0.988267273562662,-6.86859203617873e-05,0.000648752348913914,0.000153088839017443,-0.44866706680009,0.657124972331523,2.07182267698973e-70,0.0138151152833375,30
"H1","VN30-VN100","reliable",0.987933499397102,6.09494309856174e-05,0.000725686486640072,0.000180682890577464,0.337328181936998,0.740254227331878,6.05858678628306e-42,0.0152604092468772,18
"H1","VN100-VNINDEX","full",0.971138673844222,0.000726928437616202,0.00238592881471149,0.000463246279588089,1.56920512834464,0.127833380900276,2.3133318308765e-54,0.165467884317168,30
"H1","VN100-VNINDEX","reliable",0.967443095452939,0.00188180177254656,0.00282273428096979,0.000657447218248996,2.86228570189776,0.0112901467755328,2.32447375796888e-32,0.553574901469935,18
"H1","Pcap-VN30","full",0.889426551374233,-0.000308210769457879,0.00624045051194673,0.00134433793581652,-0.229265842498656,0.82032875463283,1.31088552217097e-41,0.00356711309904527,30
"H1","Pcap-VN30","reliable",0.882107542776573,0.00200081821663257,0.00748408360184595,0.00185366184269286,1.07938684961327,0.296418710869641,6.02774551632294e-25,0.14518799590002,18
"H1","Pheur-VN30","full",-0.0656275666438352,0.00291061281942086,0.0433398723218974,0.0107913330315268,0.269717634597833,0.789355363658201,0.141169239810875,0.00717786945962331,30
"H1","Pheur-VN30","reliable",-0.133337815045267,0.0212495020181753,0.0209539452284831,0.00530057744855458,4.00890322317049,0.00101288893784621,9.40434342105033e-06,0.624271544479068,18
