"timeframe","pair","stat","estimate","ci_lo","ci_hi","boot_se","p_two_sided"
"1D","VN30-VNINDEX","avg_rel",0.9665156091196,0.962698151933262,0.969762988965762,0.00388325335684992,0
"1D","VN30-VNINDEX","slope_full",0.00197823840442907,-0.00100189823914405,0.00318927885987447,0.00230187524884462,0.666666666666667
"1D","VN30-VNINDEX","slope_rel",0.0010175222963058,-0.00152891054365334,0.00357674345955247,0.00304869295025319,0.666666666666667
"1D","VN30-VN100","avg_rel",0.987638573892592,0.986879341293595,0.991245414503203,0.00248252189336872,0
"1D","VN30-VN100","slope_full",5.16748579761735e-05,-0.000786824262890917,0.000383122191065239,0.000617895845133394,0.666666666666667
"1D","VN30-VN100","slope_rel",-0.000773741031330905,-0.00203808606492215,0.000177635348675204,0.00119088196636471,0.666666666666667
"1D","VN100-VNINDEX","avg_rel",0.975913999314395,0.969092982093151,0.977452570821655,0.00448532690919097,0
"1D","VN100-VNINDEX","slope_full",0.000492934458803909,-0.00245323518705307,0.00133387784777708,0.00204439738508499,0.666666666666667
"1D","VN100-VNINDEX","slope_rel",0.000803038502063616,-0.00099301780396555,0.00237769731076851,0.00182157529226201,0.666666666666667
"1D","Pcap-VN30","avg_rel",0.883676706877398,0.87396236417458,0.910017353277044,0.0206895236184982,0
"1D","Pcap-VN30","slope_full",0.00140257530363464,-0.00134770158945152,0.00372780864613163,0.00267272734509477,0.666666666666667
"1D","Pcap-VN30","slope_rel",-0.00398646884347741,-0.0151635469578012,0.00224213952556883,0.00931030087324971,0.666666666666667
"1D","nested_mean-minus-Pcap","gap",0.0930126872314647,0.0752998947990483,0.103291646938628,0.0105038299540528,0
"M30","VN30-VNINDEX","avg_rel",0.968907970306916,0.967159571046816,0.972199059040059,0.00269582304798072,0
"M30","VN30-VNINDEX","slope_full",0.00157661394589516,0.00169300554644682,0.00268222257468647,0.000521375621160273,0
"M30","VN30-VNINDEX","slope_rel",0.00218095922512297,0.00144981864379302,0.00219298931196719,0.00040333943978029,0
"M30","VN30-VN100","avg_rel",0.986902330111244,0.986288585702565,0.98785261805584,0.000824403405905928,0
"M30","VN30-VN100","slope_full",9.09761898194568e-05,0.00030743407754377,0.000402083430233472,5.71719814838893e-05,0
"M30","VN30-VN100","slope_rel",-6.54775831597889e-05,-0.000126929029820121,0.000249860773988134,0.00020412795645385,0.666666666666667
"M30","VN100-VNINDEX","avg_rel",0.981302276103922,0.979969243352471,0.98446697728542,0.00270470690307548,0
"M30","VN100-VNINDEX","slope_full",0.000864222962305468,0.000545823304801791,0.00146760518219783,0.000485804401657597,0
"M30","VN100-VNINDEX","slope_rel",0.00215761081702256,0.00149385768463902,0.00186355842991848,0.000195451502232307,0
"M30","Pcap-VN30","avg_rel",0.882867918079873,0.872465770943581,0.889585752183385,0.00997048231972839,0
"M30","Pcap-VN30","slope_full",0.00247634596464928,0.00405948683558555,0.00560829714268871,0.000880325547653293,0
"M30","Pcap-VN30","slope_rel",0.0016715552864422,0.00160664343032931,0.00487517257731451,0.00184381070858006,0
"M30","Pheur-VN30","avg_rel",-0.00572329775412517,-0.082621923649882,0.0574095183649236,0.0737989496378909,0.666666666666667
"M30","Pheur-VN30","slope_full",0.022232973924944,0.0247263475611822,0.0466458235066816,0.0127568381940725,0
"M30","Pheur-VN30","slope_rel",0.0289265665605076,0.0127407116248754,0.0439537187081133,0.0174037858162505,0
"M30","Pratio-VN30","avg_rel",-0.0890286205942681,-0.16377989765726,-0.025569043836801,0.0730409277158509,0
"M30","Pratio-VN30","slope_full",0.0221312331709245,0.0238132851051418,0.0458943703010805,0.0130749620345721,0
