"timeframe","pair","dh_obs","dh_shuffled_mean","dh_shuffled_q95","exceeds_q95"
"1D","VN30-VNINDEX",0.419868635619985,0.352164094837523,0.367337830400356,TRUE
"1D","VN30-VN100",0.301528367145085,0.287527605304515,0.363705247866477,FALSE
"1D","VN100-VNINDEX",0.36228667275714,0.29386681473707,0.3067236371014,TRUE
"1D","Pcap-VN30",0.655572399743791,0.516795425650063,0.563034960475915,TRUE
"M30","VN30-VNINDEX",0.403940122734498,0.347254369132249,0.375267846151003,TRUE
"M30","VN30-VN100",0.340241626488431,0.334571051828335,0.364275090666002,FALSE
"M30","VN100-VNINDEX",0.430964783102247,0.357572537997219,0.38520243719481,TRUE
"M30","Pcap-VN30",0.494672309274989,0.504460664258376,0.509155406899497,FALSE
"H1","VN30-VNINDEX",0.32771110421211,0.330777598175665,0.337321164851917,FALSE
"H1","VN30-VN100",0.252123554158681,0.27728851228052,0.288516749948485,FALSE
"H1","VN100-VNINDEX",0.396376958287231,0.368749681758976,0.411687207811339,FALSE
"H1","Pcap-VN30",0.435262558542471,0.424161913409839,0.438244400328861,FALSE
"H4","VN30-VNINDEX",0.401208376026902,0.309363333481643,0.338102874428128,TRUE
"H4","VN30-VN100",0.293488574062177,0.273958452106514,0.317725291471235,FALSE
"H4","VN100-VNINDEX",0.325582077586855,0.31886740425665,0.368663520409826,FALSE
"H4","Pcap-VN30",0.472477770574928,0.455003978653072,0.485777274351035,FALSE
